signal-022,signal-023,signal-024,signal-025,signal-038,signal-039,signal-057,signal-064,signal-074,signal-085,signal-088,signal-093,signal-096
0.41606674,0.46022409,0.55525508,0.595045632,0.944305153,0.946045036,0.31381105,0.529031879,0.995985688,0.945698654,0.886792453,0.882352941,0.652777778
0.412763615,0.458303321,0.55525508,0.588135593,0.944956013,0.946840675,0.31381105,0.531183132,0.996422026,0.945698654,0.886792453,0.882352941,0.652777778
0.415262133,0.464905962,0.551015933,0.612125163,0.945141787,0.946602095,0.311601105,0.531899977,0.995985688,0.946075965,0.886792453,0.882352941,0.652777778
0.410730922,0.46102441,0.559494226,0.60136897,0.944584093,0.946761095,0.31381105,0.529031879,0.99589842,0.946075965,0.886792453,0.882352941,0.652777778
0.410730922,0.462184874,0.550285046,0.603324641,0.944770053,0.946124457,0.31381105,0.530107147,0.995374815,0.945289901,0.886792453,0.882352941,0.652777778
0.416490218,0.464105642,0.556643766,0.603324641,0.944490927,0.946204037,0.31381105,0.531183132,0.995723885,0.946484719,0.886792453,0.882352941,0.652777778
0.412001355,0.455982393,0.553793305,0.600782269,0.944677073,0.946999994,0.314917127,0.531183132,0.996334759,0.945698654,0.886792453,0.882352941,0.652777778
0.418565258,0.454821929,0.548165473,0.597001304,0.944521983,0.946442935,0.31381105,0.531183132,0.996247491,0.947302226,0.886792453,0.882352941,0.652777778
0.416913695,0.458303321,0.551015933,0.590026076,0.944367078,0.946602095,0.312707182,0.532616106,0.99554935,0.946075965,0.886792453,0.882352941,0.652777778
0.421021428,0.457543017,0.563002485,0.593220339,0.944212173,0.946204037,0.311601105,0.532616106,0.995723885,0.947302226,0.886792453,0.882352941,0.652777778
0.41568561,0.464905962,0.562344686,0.598239896,0.944863033,0.946442935,0.312707182,0.532616106,0.9970329,0.947302226,0.886792453,0.882352941,0.652777778
0.412001355,0.458703481,0.554524192,0.605801825,0.944397947,0.945965456,0.31381105,0.532616106,0.996683829,0.947302226,0.886792453,0.882352941,0.652777778
0.413187092,0.458303321,0.558763339,0.598239896,0.944305153,0.946681675,0.312707182,0.532616106,0.996858365,0.946484719,0.886792453,0.882352941,0.652777778
0.414457525,0.459463786,0.555912878,0.603911343,0.944490927,0.946681675,0.311601105,0.535125064,0.996334759,0.947302226,0.886792453,0.882352941,0.652777778
0.416490218,0.453261305,0.553062418,0.594458931,0.944119007,0.946084826,0.310497238,0.537634023,0.996203857,0.946075965,0.886792453,0.882352941,0.652777778
0.419750995,0.456742697,0.55810554,0.599478488,0.943747087,0.945487977,0.310497238,0.536917895,0.996072956,0.946075965,0.886792453,0.882352941,0.652777778
0.412763615,0.459103641,0.562344686,0.605149935,0.943747087,0.945169499,0.310497238,0.536200332,0.996422026,0.947302226,0.886792453,0.882352941,0.652777778
0.41606674,0.458703481,0.557374653,0.592568449,0.944119193,0.945169499,0.310497238,0.537156604,0.995985688,0.946484719,0.886792453,0.882352941,0.652777778
0.413187092,0.453261305,0.557374653,0.600782269,0.943933233,0.945408398,0.310497238,0.538112159,0.996683829,0.946484719,0.886792453,0.882352941,0.652777778
0.41568561,0.455222089,0.559494226,0.59380704,0.943468333,0.945328818,0.310497238,0.539067714,0.995723885,0.946075965,0.886792453,0.882352941,0.652777778
0.412382485,0.46102441,0.559494226,0.60958279,0.943747087,0.945646978,0.310497238,0.537634023,0.996683829,0.946893473,0.886792453,0.882352941,0.652777778
0.41568561,0.468387355,0.553062418,0.605801825,0.943282373,0.944930919,0.310497238,0.539785276,0.996422026,0.947302226,0.886792453,0.882352941,0.652777778
0.417294825,0.455222089,0.563733372,0.595045632,0.943189207,0.944692179,0.308287293,0.540023986,0.996422026,0.946075965,0.886792453,0.882352941,0.652777778
0.409926315,0.454021609,0.558763339,0.590026076,0.943468333,0.944930919,0.308563536,0.540262695,0.996160223,0.946075965,0.886792453,0.882352941,0.652777778
0.412805963,0.455222089,0.564391171,0.599478488,0.943468333,0.945487977,0.308839779,0.540502122,0.996334759,0.946893473,0.886792453,0.882352941,0.652777778
0.41568561,0.46062425,0.563002485,0.604563233,0.943142903,0.94437386,0.309116022,0.541935812,0.996247491,0.945289901,0.886792453,0.882352941,0.652777778
0.412763615,0.453661465,0.559494226,0.586245111,0.942817473,0.94445328,0.309392265,0.539785276,0.996422026,0.946075965,0.886792453,0.882352941,0.652777778
0.412763615,0.450940376,0.558763339,0.595697523,0.942910453,0.944214541,0.311601105,0.539785276,0.996596562,0.946484719,0.886792453,0.882352941,0.652777778
0.410307445,0.463345338,0.560882912,0.605149935,0.942631513,0.943975801,0.310865193,0.539785276,0.996771097,0.946893473,0.886792453,0.882352941,0.652777778
0.417718303,0.459463786,0.567241631,0.597588005,0.942956943,0.945010339,0.310128177,0.541935812,0.995723885,0.946484719,0.886792453,0.882352941,0.652777778
0.409502837,0.46142457,0.565852945,0.612125163,0.943282373,0.945169499,0.309392265,0.542174522,0.996072956,0.946484719,0.886792453,0.882352941,0.652777778
0.4111544,0.456382553,0.568703406,0.598826597,0.943034302,0.944771759,0.310128177,0.542413231,0.996160223,0.946484719,0.886792453,0.882352941,0.652777778
0.41361057,0.450540216,0.557374653,0.595697523,0.942786417,0.9442147,0.310865193,0.542651941,0.995723885,0.946484719,0.886792453,0.882352941,0.652777778
0.409926315,0.46102441,0.557374653,0.603911343,0.942538347,0.94453286,0.311601105,0.539067714,0.995723885,0.946484719,0.886792453,0.882352941,0.652777778
0.41568561,0.467226891,0.562344686,0.598239896,0.942817473,0.944851339,0.309392265,0.54121825,0.996683829,0.946484719,0.886792453,0.882352941,0.652777778
0.410730922,0.462985194,0.563002485,0.593220339,0.942445367,0.943975801,0.311601105,0.540501405,0.995636618,0.945698654,0.886792453,0.882352941,0.652777778
0.41606674,0.457142857,0.561613799,0.597588005,0.942817473,0.94413512,0.310865193,0.539785276,0.996160223,0.946893473,0.886792453,0.882352941,0.652777778
0.410307445,0.462184874,0.565122058,0.6089309,0.942492043,0.944692179,0.310128177,0.539785276,0.996945632,0.946495095,0.886792453,0.882352941,0.652777778
0.410307445,0.45210084,0.565852945,0.595697523,0.942166613,0.943975801,0.309392265,0.538351585,0.996771097,0.946097032,0.886792453,0.882352941,0.652777778
0.410730922,0.459863946,0.567241631,0.598826597,0.942026957,0.943418743,0.308287293,0.539785276,0.996072956,0.945698654,0.886792453,0.882352941,0.652777778
0.412763615,0.456742697,0.561613799,0.600130378,0.941887487,0.943975801,0.30718232,0.539067714,0.995723885,0.946484719,0.886792453,0.882352941,0.652777778
0.414034048,0.46102441,0.567241631,0.6089309,0.942073633,0.943339163,0.30718232,0.540502122,0.996247491,0.945289901,0.886792453,0.882352941,0.652777778
0.414838655,0.466066427,0.568703406,0.603911343,0.942104688,0.9442147,0.30718232,0.540502122,0.996247491,0.944881147,0.886792453,0.882352941,0.652777778
0.416490218,0.457543017,0.565852945,0.595045632,0.942135557,0.944015751,0.309392265,0.540502122,0.996945632,0.945698654,0.886792453,0.882352941,0.652777778
0.41568561,0.459083633,0.574331238,0.615906128,0.942166613,0.943816801,0.308655249,0.538351585,0.995113012,0.944881147,0.886792453,0.882352941,0.652777778
