signal-013,signal-014,signal-015,signal-017,signal-061,signal-062,signal-082,signal-114,signal-115,signal-122
0.277005348,0.417698658,0.253713839,0.389328643,0.812749813,0.694044395,0.517259786,0.861538462,0.886792453,0.896551724
0.26684492,0.440144479,0.257623143,0.400469071,0.811753797,0.69145394,0.517259786,0.861538462,0.867924528,0.896551724
0.261497326,0.442724458,0.257623143,0.400469071,0.809263754,0.683684795,0.517259786,0.861538462,0.867924528,0.896551724
0.292780749,0.417698658,0.265246286,0.394898857,0.806773712,0.681466149,0.517259786,0.861538462,0.867924528,0.896551724
0.271925134,0.42002064,0.272869429,0.394898857,0.809760767,0.69145394,0.517259786,0.861538462,0.867924528,0.896551724
0.287433155,0.42750258,0.257623143,0.400469071,0.809263754,0.68590455,0.517259786,0.861538462,0.867924528,0.896551724
0.285026738,0.430082559,0.272869429,0.397830548,0.808765746,0.68590455,0.517259786,0.861538462,0.867924528,0.896551724
0.290106952,0.43498452,0.261141517,0.391967165,0.811753797,0.694784684,0.517259786,0.861538462,0.867924528,0.896551724
0.279679144,0.42002064,0.261141517,0.391967165,0.812251805,0.693673696,0.517259786,0.861538462,0.867924528,0.896551724
0.27459893,0.415118627,0.253713839,0.389328643,0.812749813,0.692564928,0.482740214,0.861538462,0.867924528,0.879310345
0.290106952,0.417698658,0.265050821,0.397830548,0.814740851,0.699223085,0.517259786,0.861538462,0.867924528,0.896551724
0.285026738,0.415118627,0.272869429,0.394898857,0.814410174,0.69700444,0.517259786,0.861538462,0.867924528,0.879310345
0.27459893,0.424922601,0.257623143,0.391967165,0.814077504,0.694784684,0.517259786,0.861538462,0.867924528,0.879310345
0.285026738,0.455108359,0.261141517,0.400469071,0.81374583,0.694784684,0.517259786,0.861538462,0.867924528,0.879310345
0.27459893,0.417698658,0.268960125,0.391967165,0.81075778,0.690345172,0.551779359,0.861538462,0.867924528,0.879310345
0.264171123,0.437564499,0.250195465,0.403400762,0.811421127,0.69145394,0.517259786,0.861538462,0.867924528,0.879310345
0.282352941,0.42750258,0.261141517,0.397830548,0.81208547,0.690344062,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.457688338,0.257623143,0.397830548,0.812749813,0.689235294,0.517259786,0.861538462,0.867924528,0.879310345
0.279679144,0.42750258,0.261141517,0.391967165,0.812749813,0.689235294,0.517259786,0.861538462,0.867924528,0.879310345
0.282352941,0.422600619,0.272869429,0.394898857,0.812749813,0.693673696,0.551779359,0.861538462,0.867924528,0.879310345
0.26684492,0.4499484,0.265050821,0.394898857,0.812749813,0.690345172,0.517259786,0.861538462,0.867924528,0.879310345
0.277005348,0.437564499,0.265050821,0.397830548,0.812749813,0.690345172,0.517259786,0.861538462,0.867924528,0.879310345
0.269518717,0.4499484,0.253713839,0.403400762,0.81374583,0.69145505,0.517259786,0.861538462,0.867924528,0.879310345
0.259090909,0.4499484,0.272869429,0.400469071,0.812749813,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.287433155,0.4499484,0.268960125,0.409264145,0.814740851,0.695894562,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.407636739,0.250195465,0.389328643,0.811753797,0.688125416,0.448220641,0.861538462,0.867924528,0.879310345
0.290106952,0.424922601,0.280297107,0.400469071,0.812500809,0.688680355,0.482740214,0.861538462,0.867924528,0.879310345
0.271925134,0.442724458,0.272869429,0.397683964,0.813246826,0.689235294,0.517259786,0.861538462,0.867924528,0.879310345
0.271925134,0.432662539,0.276387803,0.394898857,0.813994835,0.692564928,0.517259786,0.861538462,0.867924528,0.879310345
0.279679144,0.43498452,0.257623143,0.394898857,0.814740851,0.695893452,0.517259786,0.861538462,0.867924528,0.879310345
