signal-020,signal-021,signal-036,signal-037,signal-058,signal-073,signal-095,signal-110,signal-116
0.83432304,0.813586487,0.300556147,0.297010044,0.842324612,0.995724258,0.652777778,0.545454545,0.544554455
0.83087886,0.818394773,0.298189563,0.295491708,0.841493907,0.995462478,0.652777778,0.545454545,0.544554455
0.844655582,0.825545555,0.302331085,0.300163513,0.842600131,0.995898778,0.652777778,0.545454545,0.544554455
0.852731591,0.827888053,0.299846172,0.298703574,0.843707184,0.996596859,0.652777778,0.545454545,0.544554455
0.836579572,0.824312662,0.29866288,0.297243635,0.844813407,0.996596859,0.652777778,0.545454545,0.554455446
0.836579572,0.819627666,0.295231334,0.294790937,0.843568595,0.996291449,0.652777778,0.545454545,0.554455446
0.838954869,0.826778449,0.2942847,0.293856576,0.842323782,0.995986038,0.652777778,0.545454545,0.554455446
0.836579572,0.826778449,0.300319489,0.298061201,0.843153657,0.995927923,0.652777778,0.545454545,0.554455446
0.843467933,0.829120947,0.299254526,0.29759402,0.841493907,0.995869634,0.652777778,0.545454545,0.554455446
0.833135392,0.819627666,0.299609514,0.301214669,0.841493907,0.995811518,0.652777778,0.545454545,0.554455446
0.843467933,0.826778449,0.298071234,0.295958888,0.841493907,0.996335079,0.652777778,0.545454545,0.554455446
0.83087886,0.825545555,0.299254526,0.294907732,0.841493907,0.996422339,0.652777778,0.545454545,0.554455446
0.844655582,0.829120947,0.298307893,0.296426069,0.842324612,0.995462478,0.652777778,0.545454545,0.554455446
0.850356295,0.832696338,0.297834576,0.298411586,0.843153657,0.995898778,0.652777778,0.545454545,0.554455446
0.838954869,0.830292196,0.297834576,0.296075683,0.839833328,0.996160558,0.652777778,0.545454545,0.554455446
0.841211401,0.827888053,0.298544551,0.298061201,0.841493907,0.996422339,0.652777778,0.545454545,0.554455446
0.833135392,0.821970164,0.298307893,0.29759402,0.840664033,0.996684119,0.652777778,0.545454545,0.554455446
0.836579572,0.82073727,0.297716247,0.295491708,0.842323782,0.996945899,0.652777778,0.545454545,0.554455446
0.826247031,0.812353594,0.296769613,0.294557346,0.841493907,0.995811518,0.652777778,0.545454545,0.554455446
0.84584323,0.827888053,0.297834576,0.29759402,0.843982702,0.996204188,0.652777778,0.545454545,0.554455446
0.832066508,0.821970164,0.300437818,0.299462742,0.843568595,0.996596859,0.652777778,0.556818182,0.554455446
0.835510689,0.826778449,0.295586321,0.298878767,0.843153657,0.996596859,0.652777778,0.556818182,0.554455446
0.841211401,0.825545555,0.299136197,0.295491708,0.842116314,0.995986038,0.652777778,0.556818182,0.554455446
0.84584323,0.827888053,0.301266122,0.298294791,0.84107814,0.996247818,0.652777778,0.556818182,0.554455446
0.833135392,0.819627666,0.299491184,0.297243635,0.840041627,0.995462478,0.652777778,0.556818182,0.554455446
0.83432304,0.819627666,0.294994675,0.293973371,0.839004283,0.996073298,0.652777778,0.556818182,0.554455446
0.84584323,0.830230551,0.299017868,0.297944406,0.839834158,0.996247818,0.652777778,0.556818182,0.554455446
0.848099762,0.830230551,0.298189563,0.297710815,0.840664033,0.996160558,0.652777778,0.556818182,0.554455446
0.835510689,0.817161879,0.296887942,0.295258117,0.838173578,0.996073298,0.652777778,0.556818182,0.554455446
0.848099762,0.838737517,0.301857768,0.298761972,0.839833328,0.995811518,0.652777778,0.556818182,0.554455446
0.83087886,0.817161879,0.297597917,0.294440551,0.838588516,0.997033159,0.652777778,0.556818182,0.554455446
0.828503563,0.817161879,0.29582298,0.292571829,0.837344533,0.996247818,0.652777778,0.556818182,0.554455446
0.849287411,0.832696338,0.296532955,0.295958888,0.840664033,0.995724258,0.652777778,0.556818182,0.554455446
0.837767221,0.823079768,0.299372855,0.298878767,0.840497228,0.995462478,0.652777778,0.556818182,0.554455446
0.828503563,0.823079768,0.296177967,0.295491708,0.840331253,0.995200698,0.652777778,0.556818182,0.554455446
0.83432304,0.817161879,0.297479588,0.294907732,0.840166108,0.996596859,0.652777778,0.556818182,0.554455446
0.833135392,0.823079768,0.298307893,0.294674142,0.840000133,0.996073298,0.652777778,0.556818182,0.554455446
0.84239905,0.824312662,0.298544551,0.296776454,0.839833328,0.996160558,0.652777778,0.556818182,0.554455446
0.843467933,0.825545555,0.30020116,0.298878767,0.838173578,0.995113438,0.652777778,0.556818182,0.554455446
0.841211401,0.832696338,0.298426222,0.299112357,0.840664033,0.995636998,0.652777778,0.556818182,0.554455446
0.83432304,0.818394773,0.297479588,0.294440551,0.840664033,0.996160558,0.652777778,0.556818182,0.554455446
0.85391924,0.83627173,0.298426222,0.296893249,0.840664033,0.996509599,0.652777778,0.556818182,0.554455446
0.84584323,0.831586734,0.300556147,0.29759402,0.840664033,0.995636998,0.652777778,0.556818182,0.564356436
0.83087886,0.823079768,0.303159389,0.300513899,0.838173578,0.996335079,0.652777778,0.556818182,0.564356436
0.850356295,0.831586734,0.303987694,0.301565055,0.837552002,0.995898778,0.652777778,0.556818182,0.564356436
0.85391924,0.838737517,0.298544551,0.301565055,0.836929596,0.996422339,0.652777778,0.556818182,0.564356436
0.851662708,0.838737517,0.301384452,0.298878767,0.83630719,0.995593368,0.652777778,0.556818182,0.564356436
0.854988124,0.839847121,0.300556147,0.296659659,0.835684784,0.994764398,0.652777778,0.556818182,0.564356436
0.856175772,0.844655406,0.29724293,0.296075683,0.838173578,0.996335079,0.652777778,0.556818182,0.564356436
0.866508314,0.8458883,0.299372855,0.298878767,0.836514658,0.995724258,0.652777778,0.556818182,0.564356436
0.863064133,0.850573296,0.300319489,0.303316982,0.834854909,0.995811518,0.666666667,0.556818182,0.564356436
0.84584323,0.838737517,0.298189563,0.295374912,0.833610097,0.995898778,0.666666667,0.556818182,0.564356436
0.836579572,0.823079768,0.297006271,0.297068442,0.832365284,0.996269634,0.666666667,0.568181818,0.574257426
