signal-026,signal-027,signal-028,signal-029,signal-040,signal-041,signal-055,signal-056,signal-068,signal-069,signal-070,signal-075,signal-086,signal-087,signal-092
0.16839691,0.099030138,0.446931196,0.497088853,0.774800266,0.762994997,0.228233208,0.050668543,0.679245283,0.855072464,0.861111111,0.995810787,0.959626002,0.954757524,0.366809723
0.16839691,0.098268676,0.431782643,0.491350941,0.775299601,0.763758162,0.228396796,0.050668543,0.679245283,0.855072464,0.861111111,0.996159888,0.96329039,0.961098699,0.374303478
0.169483341,0.098268676,0.440383112,0.479959497,0.777213715,0.76486051,0.228561704,0.050668543,0.679245283,0.855072464,0.861111111,0.996508989,0.96085842,0.956696018,0.365528739
0.166103332,0.096304905,0.427091478,0.484009788,0.775382823,0.764606122,0.228726611,0.050433849,0.679245283,0.855072464,0.861111111,0.99502531,0.966215328,0.96550138,0.366809723
0.161395461,0.097867906,0.441262705,0.488988271,0.77421771,0.763503773,0.228891519,0.050199507,0.679245283,0.855072464,0.861111111,0.99685809,0.971375049,0.970396898,0.365016345
0.169483341,0.097867906,0.443119625,0.48730065,0.772636485,0.760959891,0.229057745,0.049964814,0.679245283,0.855072464,0.861111111,0.996159888,0.958163534,0.956696018,0.369820035
0.161395461,0.095142674,0.442240031,0.490563328,0.772969374,0.761892648,0.229222653,0.050316678,0.679245283,0.855072464,0.861111111,0.995112585,0.961088471,0.960605861,0.367322116
0.160188315,0.098268676,0.443119625,0.493826175,0.773302264,0.761807852,0.22938756,0.049612949,0.679245283,0.855072464,0.861111111,0.996334439,0.960102537,0.954757524,0.367322116
0.162481893,0.097066367,0.442240031,0.497088853,0.771970706,0.761383872,0.229552468,0.049656932,0.679245283,0.855072464,0.875,0.99519986,0.960365453,0.954757524,0.366297329
0.161395461,0.100192369,0.437451134,0.493038562,0.772636485,0.762401425,0.228233208,0.049700915,0.679245283,0.855072464,0.861111111,0.996770815,0.966708295,0.966717046,0.368026657
0.169483341,0.098268676,0.444096951,0.48569741,0.77247004,0.761723056,0.228561704,0.049744898,0.679245283,0.855072464,0.861111111,0.996901728,0.9571776,0.957681693,0.367322116
0.160188315,0.098268676,0.431782643,0.48569741,0.77421771,0.762740609,0.228891519,0.049788529,0.679245283,0.855072464,0.861111111,0.997032641,0.970882082,0.964285714,0.368026657
0.167310478,0.098268676,0.431782643,0.492194751,0.774883489,0.762910201,0.229222653,0.049832864,0.679245283,0.855072464,0.861111111,0.996596265,0.963553306,0.957911684,0.364824198
0.170690488,0.105602757,0.437451134,0.483250359,0.775549268,0.763927754,0.229552468,0.049876847,0.679245283,0.855072464,0.861111111,0.996159888,0.966708295,0.965994217,0.365016345
0.171897634,0.103318371,0.442240031,0.48569741,0.775466045,0.763418977,0.229111835,0.04992083,0.679245283,0.855072464,0.861111111,0.995985338,0.958656501,0.956958865,0.366297329
0.17310478,0.0997916,0.43842846,0.48814446,0.77388482,0.763418977,0.228672522,0.049964814,0.679245283,0.855072464,0.861111111,0.995548961,0.962304456,0.961591536,0.369307641
0.174311927,0.102917602,0.435594214,0.493882373,0.776464714,0.765369287,0.228233208,0.049996833,0.679245283,0.855072464,0.861111111,0.99685809,0.957670567,0.95620318,0.371293166
0.16839691,0.102917602,0.434616888,0.490591511,0.776547936,0.764775714,0.228672522,0.050028853,0.679245283,0.855072464,0.875,0.996945366,0.963783357,0.962084374,0.370780772
0.171897634,0.0997916,0.443119625,0.491350941,0.775965379,0.764690918,0.229111835,0.050060873,0.679245283,0.855072464,0.861111111,0.996421714,0.968910214,0.966717046,0.369563838
0.169483341,0.10215614,0.439405786,0.482406548,0.775840546,0.766047655,0.229552468,0.050092892,0.679245283,0.855072464,0.861111111,0.996159888,0.960102537,0.956958865,0.365016345
0.161395461,0.100993908,0.442240031,0.479959497,0.775715712,0.765242093,0.228233208,0.05012456,0.679245283,0.855072464,0.861111111,0.995898062,0.961581438,0.962314365,0.365784948
0.17310478,0.100993908,0.432759969,0.483250359,0.774800266,0.76443653,0.228561704,0.050156932,0.679245283,0.855072464,0.875,0.996116251,0.971605101,0.971875411,0.368539064
0.166103332,0.096304905,0.43842846,0.482406548,0.777629827,0.766556432,0.228891519,0.0501886,0.679245283,0.855072464,0.861111111,0.996334439,0.959872486,0.955217506,0.366553526
0.167310478,0.097847868,0.442240031,0.484009788,0.777962716,0.765666073,0.229222653,0.050220619,0.679245283,0.855072464,0.875,0.996945366,0.966215328,0.96747273,0.367556959
0.17310478,0.09939083,0.43657154,0.493882373,0.776131824,0.764775714,0.229552468,0.050252287,0.679245283,0.855072464,0.875,0.996334439,0.966971211,0.960375871,0.368560405
0.169483341,0.100192369,0.430903049,0.483250359,0.776298269,0.765284491,0.229222653,0.050284659,0.679245283,0.855072464,0.861111111,0.996508989,0.964506376,0.962807202,0.369563838
0.171897634,0.10175537,0.440383112,0.484009788,0.776880826,0.766047655,0.228891519,0.050316678,0.679245283,0.855072464,0.875,0.997119916,0.93834626,0.939578131,0.367578326
0.175398358,0.0997916,0.434616888,0.483250359,0.776506325,0.765114899,0.228561704,0.050668543,0.679245283,0.855072464,0.875,0.995898062,0.956454581,0.954264687,0.368539064
0.171897634,0.098268676,0.434616888,0.489832082,0.776131824,0.765708471,0.228233208,0.050492611,0.679245283,0.855072464,0.861111111,0.996334439,0.955205732,0.954987515,0.370524588
0.171897634,0.102917602,0.447908522,0.493882373,0.777629827,0.766047655,0.228891519,0.050316678,0.679245283,0.855072464,0.861111111,0.996247164,0.973576969,0.965994217,0.368795248
0.17310478,0.10175537,0.43842846,0.489832082,0.775715712,0.766047655,0.229552468,0.050668543,0.679245283,0.855072464,0.875,0.996159888,0.94298015,0.942995137,0.370524588
0.161395461,0.10215614,0.445074277,0.493038562,0.776797603,0.764690918,0.228233208,0.050316678,0.679245283,0.855072464,0.861111111,0.995374411,0.958886552,0.957681693,0.368795248
0.171897634,0.09939083,0.443119625,0.484009788,0.778378828,0.766895616,0.228759593,0.050457072,0.679245283,0.855072464,0.875,0.996159888,0.958656501,0.960605861,0.369051457
0.169483341,0.100192369,0.442191165,0.484853599,0.777463382,0.7672348,0.229288616,0.05059817,0.679245283,0.855072464,0.861111111,0.996945366,0.952050743,0.953279012,0.366297329
0.176605505,0.102917602,0.441262705,0.484853599,0.778212383,0.76702281,0.229815,0.050738564,0.679245283,0.855072464,0.861111111,0.996334439,0.958163534,0.95620318,0.366297329
0.171897634,0.100993908,0.432759969,0.493038562,0.776964048,0.76681082,0.230344023,0.050879662,0.679245283,0.855072464,0.875,0.995723512,0.963060339,0.962577211,0.368282854
0.174311927,0.10215614,0.437451134,0.483250359,0.776964048,0.766132451,0.230870408,0.051020056,0.679245283,0.855072464,0.875,0.995679874,0.972821086,0.971875411,0.369563838
0.16839691,0.102516832,0.446931196,0.48814446,0.776797603,0.76638684,0.231200223,0.051020056,0.679245283,0.855072464,0.875,0.995636237,0.946168003,0.93934814,0.369820035
0.171897634,0.100192369,0.440383112,0.490591511,0.77704727,0.765962859,0.231531357,0.051020056,0.679245283,0.855072464,0.875,0.995287136,0.964999343,0.964285714,0.368539064
0.175398358,0.105242065,0.437451134,0.484009788,0.777629827,0.766980412,0.231861172,0.051020056,0.679245283,0.855072464,0.875,0.996945366,0.96917313,0.966487055,0.368539064
0.17310478,0.095944213,0.446051603,0.484009788,0.777130493,0.766217248,0.232190987,0.051723786,0.679245283,0.855072464,0.861111111,0.996334439,0.965755225,0.964285714,0.367770461
0.16839691,0.100593139,0.432759969,0.486456839,0.778045939,0.767065208,0.231531357,0.051723786,0.679245283,0.855072464,0.875,0.996770815,0.959872486,0.956466027,0.370524588
0.177812651,0.100593139,0.428948397,0.479115686,0.778586884,0.768421945,0.230870408,0.051195989,0.679245283,0.855072464,0.875,0.997207191,0.958656501,0.957681693,0.369820035
0.171897634,0.102917602,0.427971071,0.477512446,0.77912783,0.767828373,0.231035315,0.050668543,0.679245283,0.855072464,0.875,0.996334439,0.974299987,0.970626889,0.366041132
0.17310478,0.098669445,0.435594214,0.486456839,0.778378828,0.766217248,0.231200223,0.051195989,0.679245283,0.855072464,0.875,0.996334439,0.959872486,0.959390196,0.366297329
0.176605505,0.101354601,0.435594214,0.486456839,0.778919774,0.768591537,0.23136513,0.051723786,0.679245283,0.855072464,0.875,0.996072613,0.954745629,0.952063346,0.367770461
0.17310478,0.097467137,0.432759969,0.476668636,0.779460719,0.768337149,0.231531357,0.051723786,0.679245283,0.855072464,0.861111111,0.996159888,0.955468647,0.957681693,0.369051457
0.178899083,0.102917602,0.440383112,0.486456839,0.779377497,0.769269906,0.231696264,0.051723786,0.679245283,0.855072464,0.875,0.995810787,0.966971211,0.965764227,0.370076231
0.178899083,0.106404296,0.428948397,0.476668636,0.779876831,0.768930722,0.231861172,0.051723786,0.679245283,0.855072464,0.875,0.996159888,0.964999343,0.962084374,0.370524588
0.171897634,0.102917602,0.426114152,0.48569741,0.779876831,0.769524294,0.232026079,0.051723786,0.679245283,0.855072464,0.875,0.996508989,0.942487183,0.944243659,0.368795248
0.176605505,0.103318371,0.432759969,0.484853599,0.779627164,0.768845926,0.232190987,0.052076003,0.679245283,0.855072464,0.875,0.995636237,0.963060339,0.960868708,0.368058682
0.186021246,0.102516832,0.433737295,0.481562737,0.780376165,0.769693886,0.230870408,0.051841309,0.679245283,0.855072464,0.875,0.995810787,0.958393585,0.963792877,0.367322116
0.186021246,0.102917602,0.432759969,0.484009788,0.78054261,0.771050623,0.233508927,0.051606615,0.679245283,0.855072464,0.875,0.996421714,0.973576969,0.970889736,0.369563838
